"id";"дата";"зірки";"магазин";"мова";"бал";"оригінал";"українською"
"as:10137043012";"2023-07-13";"2";"appstore";"es";"4";"Me encantaba que en la app agregaran el calendario para saber qué días tenía que cortar mi cabello y con la actualización lo quitaron 😭😭 
Por favor, vuelvan a integrarlo";"Мені дуже подобалось, що в застосунку додали календар, щоб знати, в які дні стригти волосся, а з оновленням його забрали 😭😭 Будь ласка, поверніть його назад."
"as:14312098923";"2026-07-16";"1";"appstore";"arabic";"3";"برنامج سيء يقوم بالخصم من حسابي ولم اطلب الاشتراك ،قمت بحذف البرنامج ومازال يخصم ،حاولت إلغاءه بكل الطرق ومازال الخصم مستمر

There is no way to cancel auto refill ,and it’s discontinued from my card";"Погана програма, вона списує з мого рахунку, а я не оформлював підписку. Я видалив програму, і вона досі списує. Я намагався скасувати всіма способами, і списання продовжується. / Немає жодного способу скасувати автопоповнення, і воно списується з моєї картки."
"gp:a85982ee-f2b";"2026-06-07";"1";"googleplay";"arabic";"3";"لقد تم سحب مبلغ من البطاقة لدي ولا اعرف لماذا لم اشترك الا مرة واحدة الرجاء إرجاع المبلغ كان المبلغ ٤٥ دينار أردني لا أعرف لماذا";"З моєї картки зняли суму, і я не знаю чому. Я підписався лише один раз. Будь ласка, поверніть суму. Сума була 45 йорданських динарів. Не знаю чому."
"gp:5ad4f47a-8c6";"2026-03-12";"1";"googleplay";"thai";"3";"ยังไม่ทราบว่าทำไมถึงมีการตัดเงินไปแบบอัตโนมัติ แบบไม่แจ้งล่วงหน้าทั้งที่ยังไม่สมัครใช้บริการอะไร เสียเวลาไปทำบัตรเดบิตใหม่อีกแล้ว";"Досі не знаю, чому гроші списали автоматично, без попередження, при тому що я ще не оформлювала жодної послуги. Знову втратила час на оформлення нової дебетової картки."
"as:13854131371";"2026-03-16";"2";"appstore";"fr";"3";"Me désabonner
Je suis très déçu tout est en anglais, nous n’avons pas le choix malgré que nous sommes chez nous au Québec…je demande un remboursement et la fermeture de mon compte.";"Відпишіть мене. Я дуже розчарований, усе англійською, у нас немає вибору, хоч ми у себе вдома в Квебеку… Я прошу повернення коштів і закриття мого акаунта."
"gp:b8abd509-487";"2025-12-24";"1";"googleplay";"it";"3";"l'ho scaricato per sbaglio e ora mi ritrova abbonata ... no n so come fare ad annullare abbonamento perché non parlo inglese...";"Я завантажила його помилково і тепер виявляю, що в мене підписка... не знаю, як скасувати підписку, бо не говорю англійською..."
"gp:58d31a80-c2c";"2025-12-22";"1";"googleplay";"pt";"3";"esse aplicativo descontou 218 do meu cartão.sem a minha autorização e tentei entrar em contato tudo inglês quero meu dinheiro de volta";"цей застосунок списав 218 з моєї картки без мого дозволу, і я намагалась зв'язатись — усе англійською. Хочу свої гроші назад."
"gp:83ce12d3-9f5";"2025-05-25";"1";"googleplay";"fr";"3";"Arnaque complète, je demande d'ailleurs le remboursement de la, somme dépenser puisque je n'ai eu accès à rien de ce que j'ai demandé.... Tout est en anglais et rien ne ressemblait à ma, demande très mauvaise expérience";"Повне шахрайство, до того ж я прошу повернення витраченої суми, бо я не отримала доступу ні до чого з того, що просила.... Усе англійською, і нічого не було схоже на мій запит. Дуже поганий досвід."
"gp:e2b966fc-342";"2025-12-13";"1";"googleplay";"pt";"3";"fui enganada! eu só baixei esse aplicativo p receber algo gratuito que foi oferecido na propaganda. Infelizmente acabei de descobrir na minha fatura um pagamento. Quero o dinheiro de volta! nunca usei esse aplicativo.";"мене обманули! я завантажила цей застосунок лише щоб отримати щось безкоштовне, що пропонували в рекламі. На жаль, я щойно виявила у своєму рахунку платіж. Хочу гроші назад! Я ніколи не користувалась цим застосунком."
"gp:933d17fa-9b3";"2025-09-26";"1";"googleplay";"pt";"3";"Me roubaram 207 reais! Eu não utilizei nenhum serviço. Apenas cheguei no Nebula por curiosidade. Quero meu dinheiro de volta";"У мене вкрали 207 реалів! Я не скористалась жодною послугою. Я просто зайшла в Nebula з цікавості. Хочу свої гроші назад."
"gp:846a3603-136";"2025-05-06";"1";"googleplay";"fr";"3";"promotion offerte à 1 euro pour essaie présente en français pour tout ce qui est du questionnaire de préambule et une fois payé pour accéder à l appli... tout passe en anglais !! je demande un remboursement pour non conformité et la on me demande mes infos banquaires soit disant nécessaire pour me rembourser alors que j ai payé avec PAYPAL.... Ca pue l arnaque!!";"акція за 1 євро на пробний період, і все французькою для всієї вступної анкети, а щойно заплатив, щоб зайти в застосунок... усе стає англійською!! Я прошу повернення за невідповідність, і тут у мене просять мої банківські дані, нібито потрібні, щоб повернути мені кошти, хоча я платив через PAYPAL.... Тхне шахрайством!!"
"as:13099255101";"2025-09-04";"1";"appstore";"pt";"3";"Paguei 5 dólares para uma consulta! Alguns dias depois me descontaram 244,96 sem minha aprovação! Quero meu dinheiro de volta!";"Я заплатив 5 доларів за консультацію! Через кілька днів з мене списали 244,96 без мого дозволу! Хочу свої гроші назад!"
"gp:f156ce85-8d2";"2025-04-09";"1";"googleplay";"fr";"3";"honteux 1 retrait de 50 euro puis 7 retrait de 10 euro rien demander donner aucun autorisation. c est du vol je souhaite être rappel remboursé et que l on s excuse bien a vous";"ганебно: 1 списання на 50 євро, потім 7 списань по 10 євро. Нічого не просив, дозволу не давав. Це крадіжка. Я хочу, щоб мені зателефонували, повернули кошти і щоб вибачились. Усього доброго."
"as:12947200698";"2025-07-28";"1";"appstore";"pt";"3";"Péssima experiencia! Tentando fazer o cancelamento e não consigo! Os débitos sendo feitos no cartão de credito em dólares! Quero o meu dinheiro de volta, um absurdo prometer uma pesquisa e entregar o resultado em inglês!  Sem condições! Estou me sentindo enganada.";"Жахливий досвід! Намагаюсь скасувати і не можу! Списання йдуть з кредитної картки в доларах! Хочу свої гроші назад. Абсурд — обіцяти дослідження і видати результат англійською! Неприйнятно! Почуваюсь обманутою."
"as:7296226879";"2021-05-04";"4";"appstore";"fr";"3";"L’appli à l’aire très bien seulement quand je veux rentrer mon lieux de naissance je le trouve pas. Cela fausse tout les résultats du coup. Étonnant étant donné que je suis née à Marseille, une grande ville tout de même...";"Застосунок виглядає дуже добре, лише коли я хочу ввести своє місце народження — я його не знаходжу. Через це всі результати стають хибними. Дивно, враховуючи, що я народилась у Марселі, все ж таки велике місто..."
"gp:b3528ce5-5cc";"2025-06-04";"1";"googleplay";"es";"3";"quiero decir que arreglen el tema de la fecha de nacimiento porque yo quiero entrar pero no aparece mi fecha y estaría bueno que lo arreglen..";"хочу сказати, щоб ви владнали питання з датою народження, бо я хочу зайти, але моєї дати немає, і було б добре, якби ви це виправили.."
"gp:d6e6182c-c69";"2020-10-22";"2";"googleplay";"es";"3";"Esta buena la app pero necesito que este en español porque si no tengo que usar mucho el traductor y no entiendo lo que dice";"Застосунок хороший, але мені потрібно, щоб він був іспанською, бо інакше мені доводиться багато користуватись перекладачем і я не розумію, що там написано."
"as:12985962583";"2025-08-07";"1";"appstore";"en_or_unknown";"7";"I didnt get response from your support please answer how to stop paying for this app?????  50 dollars and then 30 dollars, for what???? Please help?!!!";"Я не отримав відповіді від вашої підтримки. Будь ласка, відповідайте, як припинити платити за цей застосунок????? 50 доларів, а потім 30 доларів — за що???? Будь ласка, допоможіть?!!!"
"gp:15478b32-52e";"2023-12-17";"1";"googleplay";"en_or_unknown";"7";"Everything is locked unless you pay for it. And don't tell me there's lots of free things. There's not. Edit. Thanks for telling me that can you tell me at least ten things that I can access whenever I want without ads or paying for it?";"Усе заблоковано, якщо не заплатиш. І не кажіть мені, що там багато безкоштовного. Немає. Доповнення. Дякую, що сказали мені це — можете назвати хоч десять речей, до яких я маю доступ будь-коли без реклами й без оплати?"
"gp:8b9dc776-d5f";"2023-03-16";"3";"googleplay";"en_or_unknown";"6";"I love how I got to put ""non-binary"" as my gender cause I can't tell if I want to be a girl, or boy. Now on to the main topic It gives me random stuff that I have to ""buy"" and it wants to know where I live? What's up with that??";"Мені дуже подобається, що я змогла вказати «небінарна» як свою стать, бо я не можу зрозуміти, хочу я бути дівчиною чи хлопцем. Тепер до головного: він дає мені випадкові речі, які я маю «купити», і хоче знати, де я живу? Що це таке??"
"gp:8c36f296-3ab";"2024-03-22";"1";"googleplay";"en_or_unknown";"5";"I invited my friend to install this app and she signed up her account with my invitation link and I am not getting this compatibility check with my partner. I don't know whats wrong and why am I not getting it?";"Я запросила подругу встановити цей застосунок, і вона зареєструвала акаунт за моїм посиланням-запрошенням, а я не отримую цієї перевірки сумісності з партнером. Я не знаю, що не так і чому я цього не отримую."
"gp:714879d6-762";"2023-07-03";"2";"googleplay";"en_or_unknown";"5";"Hey I just wanted you to know I just use this anti-spyware app and it says you have malware on this app please check with your anti virus software or team to make sure to remove it so it doesn't harm your customers!";"Привіт, просто хотів вам повідомити: я скористався антишпигунським застосунком, і він каже, що у вашому застосунку є шкідливе ПЗ. Будь ласка, перевірте своїм антивірусом або зверніться до команди, щоб це прибрати, щоб воно не шкодило вашим клієнтам!"
"gp:e18e8473-db4";"2025-11-16";"1";"googleplay";"en_or_unknown";"4";"I want to cancel now. I misunderstood the nature of the app. I can't find out how to cancel it. Get me out!! I don't have a witch type. I misread. H E L P ! 🙁😠😡😕😥😥";"Я хочу скасувати зараз. Я неправильно зрозуміла суть застосунку. Я не можу знайти, як його скасувати. Заберіть мене звідси!! У мене немає типу відьми. Я не так прочитала. Д О П О М О Ж І Т Ь! 🙁😠😡😕😥😥"
"gp:2c9af292-022";"2025-04-04";"3";"googleplay";"en_or_unknown";"4";"I WANT to like it. but I've had it for 15 minutes and now all of a sudden can't connect to the internet, even though there isn't a single internet issue. no matter what I do, I can't get past the internet issue the app THINKS there is.";"Я ХОЧУ, щоб він мені сподобався. Але він у мене 15 хвилин, і тепер раптово не може під'єднатись до інтернету, хоча з інтернетом жодної проблеми немає. Що б я не робила, я не можу пройти проблему з інтернетом, яка застосунку лише ЗДАЄТЬСЯ."
"gp:0d3c530a-79a";"2024-01-04";"1";"googleplay";"en_or_unknown";"4";"I cant see anything I want without paying and it was so called a free app I just wanna see the results like is it so hard to ask";"Я не можу побачити нічого, що хочу, без оплати, а це нібито безкоштовний застосунок. Я просто хочу побачити результати — невже так багато прошу?"
