"id";"дата";"зірки";"магазин";"мова";"оригінал";"українською"
"as:12669241957";"2025-05-18";"1";"appstore";"es";"Desde que revisé la app el día que la descargue comprobé que no estaba la suscripción activada, es más no aparece en mis suscripciones activas, aún así me han cobrado 39,90 por una semana. Nunca la usé por que está todo en inglés.
Quiero que me devuelvan el dinero!!!";"Відколи я переглянула застосунок у день, коли його завантажила, я переконалась, що підписка не активована, ба більше — її немає в моїх активних підписках, і все одно з мене списали 39,90 за тиждень. Я ніколи ним не користувалась, бо там усе англійською. Я хочу, щоб мені повернули гроші!!!"
"as:10554353137";"2023-11-05";"2";"appstore";"en_or_unknown";"I like the app just fine but I unsubscribed from this app three months ago and I am being charged $20 every month even though I’ve unsubscribed. When I go into my iCloud account under purchases or subscriptions it’s not there. Therefore Apple is not able to refund me my money and I’ve done everything on my end to make it stop but it will not stop charging me and I don’t know what to do. At this point I’ve spent $60 that I didn’t want to spend, and no way to solve the issue apparently. If someone from the neb team could please help me resolve this issue, it would be very much appreciated.";"Застосунок мені цілком подобається, але я відписалась від нього три місяці тому, і з мене все одно списують 20 доларів щомісяця, попри те що я відписалась. Коли я заходжу в свій акаунт iCloud у покупки чи підписки — його там немає. Тому Apple не може повернути мені гроші, і я зробила все зі свого боку, щоб це припинити, але воно не припиняє списувати, і я не знаю, що робити. На цей момент я витратила 60 доларів, яких не хотіла витрачати, і, схоже, жодного способу вирішити це немає. Якщо хтось із команди Nebula міг би, будь ласка, допомогти мені це владнати, я була б дуже вдячна."
"gp:ca5733e1-343";"2026-09-05";"1";"googleplay";"en_or_unknown";"When can you resolve this issue? Because of this error, I was forced to cancel my card and have suffered damages. I expect this to be fixed immediately before I take this matter to the relevant authorities";"Коли ви зможете вирішити цю проблему? Через цю помилку я був змушений заблокувати картку і зазнав збитків. Я очікую, що це буде виправлено негайно, перш ніж я передам справу до відповідних органів."
"as:14322764387";"2026-07-19";"1";"appstore";"en_or_unknown";"Hi, I was only trying to start the free trial to test the app, and I don’t know how I ended up being charged for an annual subscription. I never intended to purchase the yearly plan. I don't need it. Could you please help me understand what happened and assist me with a refund? I contacted apple but the request was diclined as it went through third party. I would really appreciate your help. Thank you.";"Вітаю, я лише намагався запустити безкоштовний пробний період, щоб протестувати застосунок, і не знаю, як у підсумку з мене списали за річну підписку. Я не мав наміру купувати річний план. Він мені не потрібен. Чи могли б ви, будь ласка, допомогти мені зрозуміти, що сталось, і посприяти з поверненням коштів? Я звертався в Apple, але запит відхилили, бо платіж пройшов через третю сторону. Я був би дуже вдячний за вашу допомогу. Дякую."
"as:13068665335";"2025-08-28";"1";"appstore";"en_or_unknown";"Why does the app keep charging me? I can’t even find the unsubscribe button. And I haven’t even logged in for weeks. How do I unsubscribe?";"Чому застосунок продовжує списувати з мене гроші? Я навіть не можу знайти кнопку відписки. І я не заходив у нього вже тижнями. Як мені відписатись?"
"gp:dcce2851-e69";"2026-03-12";"1";"googleplay";"en_or_unknown";"need a refund I never wanted to keep this app. I canceled it on the last day of trial and was still charged $54 please fix this";"мені потрібне повернення, я ніколи не хотів залишати цей застосунок. Я скасував його в останній день пробного періоду, і з мене все одно списали 54 долари, будь ласка, виправте це."
"gp:58d181f1-d91";"2026-01-14";"1";"googleplay";"en_or_unknown";"Hi I have not subscribed for this app. I had uninstalled this app, yet today INR 3669 was deducted from my account. Can someone please explain why this was deducted and how can I stop the same? Thanks [Name]";"Вітаю, я не підписувався на цей застосунок. Я його видалив, і все одно сьогодні з мого рахунку списали 3669 індійських рупій. Чи може хтось, будь ласка, пояснити, чому це було списано і як мені це зупинити? Дякую, [Ім'я]"
"as:13539000956";"2025-12-21";"1";"appstore";"en_or_unknown";"Extremely challenging to contact anyone or navigate website/ app. I didn’t sign up for the monthly subscription and couldn’t find anywhere on the app or in my phone settings that I have one. I have now been charged and spent half of my evening trying to contact anyone as I don’t need this subscription and I would like my money back that I didn’t authorise to charge. Can’t contact anyone neither via the app, website or email. All emails are bouncing back, app doesn’t send messages , can’t log in via browser. Can someone please contact me and refund me the money you have charged me without my consent.";"Надзвичайно складно з кимось зв'язатись або розібратись у сайті/застосунку. Я не оформлювала місячну підписку і ніде не змогла знайти — ні в застосунку, ні в налаштуваннях телефона — що вона в мене є. Тепер з мене списали, і я витратила пів вечора на спроби з кимось зв'язатись, бо ця підписка мені не потрібна і я хотіла б повернути гроші, які я не дозволяла списувати. Не можу зв'язатись ні через застосунок, ні через сайт, ні через пошту. Усі листи повертаються, застосунок не надсилає повідомлень, не можу увійти через браузер. Чи може хтось, будь ласка, зв'язатись зі мною і повернути гроші, які ви списали без моєї згоди."
"gp:96f5593f-525";"2025-12-28";"1";"googleplay";"en_or_unknown";"Why payment deducted without any confirmation... No details... I opted for one time USD 1. USD 1 and USD 43 are deducted from my Bank card. Fix this asap. I need a USD 43 refund asap. Please fix this. No subscription details under playstore...";"Чому платіж списано без жодного підтвердження... Без деталей... Я обрав разовий платіж 1 долар. З моєї банківської картки списано 1 долар і 43 долари. Виправте це якнайшвидше. Мені потрібне повернення 43 доларів якнайшвидше. Будь ласка, виправте це. У Play Store жодних деталей підписки немає..."
"as:12932566333";"2025-07-24";"1";"appstore";"en_or_unknown";"I did not buy or pay anything. I paid $1 to see something like a 12 day guide?? But other than that I have almost $60 charged to my credit card. I am not impressed. I had deleted this app a couple months ago and I see I have money on hold from my account because they are trying to charge me. Please fix and refund me";"Я нічого не купував і не платив. Я заплатив 1 долар, щоб подивитись щось на кшталт 12-денного гайду?? Але крім цього, з моєї кредитної картки списано майже 60 доларів. Я не в захваті. Я видалив цей застосунок пару місяців тому, і бачу, що з мого рахунку заблоковано гроші, бо вони намагаються списати. Будь ласка, виправте і поверніть мені кошти."
"gp:5c590b31-4a9";"2025-06-04";"1";"googleplay";"en_or_unknown";"how do I cancel? it should not be this difficult! please cancel my subscription that is still in 7 day trial! I do not authorize any deduction for payment.";"як мені скасувати? це не мало б бути так складно! будь ласка, скасуйте мою підписку, яка ще на 7-денному пробному періоді! Я не даю дозволу на жодне списання коштів."
"gp:0b215825-f8c";"2026-03-27";"1";"googleplay";"es";"solamente pague 4000 de prueba y resultó que me descintaron sin mi consentimiento 120.000. por favor necesito la devolucuon de mi dinero ya que no acepté ni marqué esa opcion de suscripcion ni nada hoy nuevamente me han sacado dinero sin mi autorizacion dizquenpor una compra que hice. son unos LADRONES ESTAFADORES DESCARADOS! Esta App ni deberia estar aca en google play. exijo la devolucuon de mi plata!";"я заплатила лише 4000 за пробний період, а виявилось, що з мене без моєї згоди зняли 120 000. будь ласка, мені потрібне повернення моїх грошей, бо я не приймала і не позначала жодної опції підписки чи чогось такого. сьогодні з мене знову зняли гроші без мого дозволу, нібито за покупку, яку я зробила. це БЕЗСОРОМНІ ЗЛОДІЇ-ШАХРАЇ! Цього застосунку взагалі не мало б бути тут у Google Play. я вимагаю повернення моїх грошей!"
"as:12637038174";"2025-05-09";"1";"appstore";"en_or_unknown";"i signed up for a trial of this app. the subscription does not show up anywhere in the subscription area of the app store. i was unable to cancel the subscription. i was charged $45. it is impossible to request a refund from apple if the charge does not appear. how is this even possible? i want my money back. how can you subscribe to something via an app downloaded in the app store and have no record for it anywhere and have no way to manage it? Ridiculous";"я оформив пробний період цього застосунку. підписка ніде не відображається в розділі підписок App Store. я не зміг скасувати підписку. з мене списали 45 доларів. неможливо запросити повернення в Apple, якщо списання ніде не відображається. як це взагалі можливо? я хочу свої гроші назад. як можна підписатись на щось через застосунок, завантажений в App Store, і не мати про це жодного запису ніде і жодного способу цим керувати? Смішно."
"as:12139432437";"2025-01-03";"1";"appstore";"en_or_unknown";"I would like to inform you that I have been charged false amount of money. I’m very thorough with processing payment. It supposed to be charged $1 USD then I have to dispute unauthorised payment of $49+ AUD. I am wondering if this app is actually SCAM. 
Please explain and give my money back!!!!";"Хочу повідомити, що з мене списали неправильну суму. Я дуже уважно ставлюсь до платежів. Мало бути списано 1 долар США, а тепер мені доводиться оскаржувати несанкціонований платіж на 49+ австралійських доларів. Мені цікаво, чи цей застосунок справді ШАХРАЙСТВО. Будь ласка, поясніть і поверніть мої гроші!!!!"
"as:10284800649";"2023-08-21";"1";"appstore";"en_or_unknown";"Wtf is going on??? I downloaded the app one week ago and paid 1€ for something that i still don’t know what that was and then I didn’t pay for any subscription. Today, after a week i almost got charged 22,80€ and I don’t even know why!!! I deleted the app one week ago. And now I downloaded it again so i can cancel my subscription(that i never paid for or wanted)  before i get charged again without my permission and the app tells me to go to my settings to cancel my subscription and what i see?? I HAVE NOT EVEN SUBSCRIBED! HOW AM I GETTING CHARGED THEN???? PLEASE FIX THIS STUPID APP!!!!!";"Що взагалі відбувається??? Я завантажив застосунок тиждень тому і заплатив 1€ за щось, про що я досі не знаю, що це було, а потім не платив за жодну підписку. Сьогодні, через тиждень, з мене мало не списали 22,80€, і я навіть не знаю чому!!! Я видалив застосунок тиждень тому. А тепер завантажив його знову, щоб скасувати свою підписку (за яку я ніколи не платив і якої не хотів), перш ніж з мене знову спишуть без мого дозволу, і застосунок каже мені зайти в налаштування, щоб скасувати підписку, і що я там бачу?? Я НАВІТЬ НЕ ПІДПИСАНИЙ! ТОДІ ЧОМУ З МЕНЕ СПИСУЮТЬ???? БУДЬ ЛАСКА, ВИПРАВТЕ ЦЕЙ ДУРНИЙ ЗАСТОСУНОК!!!!!"
"gp:2fc48efe-7f1";"2025-05-06";"1";"googleplay";"en_or_unknown";"I didn't even subscribe to these ppl and I got charged $45!!!! how can you do that to ppl!?!? I want my money back ASAP!!!!";"Я навіть не підписувався на цих людей, а з мене списали 45 доларів!!!! як ви можете так робити з людьми!?!? Я хочу свої гроші назад ЯКНАЙШВИДШЕ!!!!"
"as:8803373829";"2022-06-23";"1";"appstore";"en_or_unknown";"Nothing is working after the update?  ”something went wrong.. please try again” please fix it  5 stars if it was working";"Після оновлення нічого не працює? «щось пішло не так.. спробуйте ще раз». будь ласка, виправте це. 5 зірок, якби воно працювало."
"as:6986478942";"2021-02-12";"1";"appstore";"en_or_unknown";"I cant get ur email but Prishtina is not a serbian city is a Kosova city please fix that other wise i will no be using ur app";"Я не можу знайти вашу пошту, але Приштина — це не сербське місто, це місто Косова, будь ласка, виправте це, інакше я не буду користуватись вашим застосунком."
"gp:71aa3da6-f57";"2023-07-17";"1";"googleplay";"en_or_unknown";"I tried this app and after canceling my free trial, I recently checked my bank statement and I was charged $$ even though I haven't used the app since May 2023? And I've also deleted the app from my phone, and my Google play is showing that I'm unsubsidized (since may 2023). I wasn't able to locate any link to contact the app developers so that is why I'm writing this bad review. Why are you charging me?!?! And please refund my money";"Я спробувала цей застосунок і після скасування безкоштовного пробного періоду нещодавно перевірила банківську виписку — з мене списали гроші, хоча я не користувалась застосунком із травня 2023? І я також видалила застосунок з телефона, і в моєму Google Play показано, що я відписана (з травня 2023). Я не змогла знайти жодного посилання, щоб зв'язатись із розробниками застосунку, тому й пишу цей поганий відгук. Чому ви з мене списуєте?!?! І будь ласка, поверніть мої гроші."
"gp:6982ab67-2d8";"2023-05-16";"1";"googleplay";"en_or_unknown";"I uploaded the app, unsubscribed and cancelled the same day ... within the hour (well before the end of the 3day free trial) and was still charged €34.99. Taking money from a credit card when it has been cancelled and not authorised, is concerning. Please contact me to refund me this charge and confirm no further charges will be taken. Thank you (I have sent an email as requested)";"Я завантажила застосунок, відписалась і скасувала того ж дня... протягом години (задовго до кінця 3-денного безкоштовного пробного періоду), і з мене все одно списали €34,99. Знімати гроші з кредитної картки, коли підписку скасовано і дозволу не давали, — це насторожує. Будь ласка, зв'яжіться зі мною, щоб повернути це списання, і підтвердьте, що подальших списань не буде. Дякую (я надіслала листа, як ви просили)."
"as:10589512667";"2023-11-15";"1";"appstore";"en_or_unknown";"I have cancelled my membership both in the app and on the web after seeing one charge for $25…. GOT CONFIRMATION IT WAS CANCELLED and am still getting MULTIPLE $25 charges AFTER cancelling. 

I WANT MY MONEY BACK!!! I cancelled my subscription WHY am I paying for it the app when I don’t have an active subscription?!?!";"Я скасувала членство і в застосунку, і на сайті після того, як побачила одне списання на 25 доларів... ОТРИМАЛА ПІДТВЕРДЖЕННЯ, ЩО ЙОГО СКАСОВАНО, і далі отримую ЧИСЛЕННІ списання по 25 доларів ПІСЛЯ скасування. Я ХОЧУ СВОЇ ГРОШІ НАЗАД!!! Я скасувала підписку, ЧОМУ я плачу за застосунок, коли в мене немає активної підписки?!?!"
"gp:1dcae62c-2e1";"2021-02-19";"2";"googleplay";"en_or_unknown";"How can I cancel my subscription? There is not settings on the app to manage the subscription and I have sent an email 4 days ago to the support to unsubscribe before my trial ends... No answer. Please advise.";"Як мені скасувати підписку? У застосунку немає налаштувань для керування підпискою, і я надіслав листа в підтримку 4 дні тому, щоб відписатись до кінця пробного періоду... Жодної відповіді. Будь ласка, підкажіть."
"gp:bc747d6b-43b";"2021-09-16";"1";"googleplay";"en_or_unknown";"I only want to pay for 4.99$ to know the whole information about compatibility. I even answered all of the questions in the add. I checked my card then they charged me for 10.26€ I'm starting to think that this is fraud and money eating service. Please fix this and I want a refund!";"Я хотів заплатити лише 4,99$, щоб дізнатись повну інформацію про сумісність. Я навіть відповів на всі питання в рекламі. Я перевірив картку — і з мене списали 10,26€. Я починаю думати, що це шахрайство і сервіс, який пожирає гроші. Будь ласка, виправте це, і я хочу повернення!"
"gp:18d1c785-e94";"2024-10-04";"1";"googleplay";"es";"Ya no estoy ocupando la aplicación, por favor ya no me cobren más, me cobraron hace poco el dinero, necesito que me la devuelvan, gracias 😊";"Я вже не користуюсь застосунком, будь ласка, більше не списуйте з мене, нещодавно з мене зняли гроші, мені потрібно, щоб ви їх повернули, дякую 😊"
"as:7554665023";"2021-07-08";"1";"appstore";"es";"Me suscribi y me realizo mal los calculos de mi carta natal, le quise dar de baja a la hora de usarlo, ni siquiera a los 3 dias y no me aparecia para desuscribirme, envie mail a su soporte con capturas, mostrando que no podia por medio de Apple y no se hicieron cargo. Me cobraron 49.99, por favor necesito que me devuelvan el dinero, ya que no voy a pagar por un servicio que no funciona a mi gusto y no utilizo.";"Я підписалась, і мені неправильно порахували натальну карту, я хотіла її відключити одразу, коли почала користуватись, навіть не через 3 дні, і в мене не з'являлось, як відписатись. Я надіслала листа в їхню підтримку зі скріншотами, показуючи, що не можу зробити це через Apple, і вони не взяли на себе відповідальність. З мене списали 49,99, будь ласка, мені потрібно, щоб мені повернули гроші, бо я не збираюсь платити за послугу, яка не працює як мені треба і якою я не користуюсь."
"as:6986898518";"2021-02-12";"1";"appstore";"es";"Solicito por este medio la devolución del dinero, ya que nunca di el ok para la compra. La descargue y al otro día fui a desactivar la suscripcion y ya habían cobrado el año... por favor 50 usd es mucho dinero... no uso nada de la app.";"Цим звертаюсь із проханням повернути гроші, бо я ніколи не давав згоди на покупку. Я завантажив його і наступного дня пішов вимикати підписку, а з мене вже списали за рік... будь ласка, 50 доларів — це багато грошей... я взагалі не користуюсь застосунком."
"gp:773442e1-d66";"2026-05-09";"1";"googleplay";"en_or_unknown";"Nebula, I made a one time purchase to see what my soulmate would look like and instead you guys are billing me for an annual fee? Please cancel that request which keeps getting bounced but I have so far endured three sets of bank reversal charges and I cannot find a method of cancelling you or it!!! Grrrrr!!!";"Nebula, я зробив разову покупку, щоб побачити, як виглядає моя споріднена душа, а ви натомість виставляєте мені річну плату? Будь ласка, скасуйте цей запит, який постійно відхиляється, але я вже витерпів три набори банківських комісій за повернення платежу, і не можу знайти способу скасувати ні вас, ні це!!! Грррр!!!"
"as:10775738782";"2024-01-02";"4";"appstore";"en_or_unknown";"So basically I was signing in to use the app and it said my sun sign is Sagittarius that’s correct it said my rising sign was cancer correct but then it said my moon sign was cancer too that’s incorrect im a Gemini moon and I am for sure of it in the reviews everyone talks about how accurate this app is but honestly I’m not so sure because it got my zodiac chart wrong can you please fix this glitch that you have in the game ?";"Отже, я заходила в застосунок, і він сказав, що моє сонячне сузір'я — Стрілець, це правильно, сказав, що мій асцендент — Рак, правильно, але потім сказав, що мій місячний знак теж Рак, а це неправильно, у мене Місяць у Близнюках, і я в цьому абсолютно впевнена. У відгуках усі пишуть, який цей застосунок точний, але чесно кажучи, я не така впевнена, бо він неправильно порахував мою зодіакальну карту. Можете, будь ласка, виправити цей глюк, який у вас у грі?"
"as:14540259840";"2026-09-12";"2";"appstore";"en_or_unknown";"Hello Nebula Support,

I am contacting you regarding a charge of 1,472.65 TRY made on my card on September 12, 2026, with the merchant description SNL_APPNEBULA.CO.

I did not authorize or intend to make this payment. I would like to request a full refund of 1,472.65 TRY and the immediate cancellation of any active subscription associated with this payment.

Please confirm that the subscription has been cancelled and that the refund has been processed.

Thank you for your assistance.

Kind regards,
[Name]";"Вітаю, Підтримко Nebula, звертаюсь щодо списання 1 472,65 турецьких лір з моєї картки 12 вересня 2026 року з описом продавця SNL_APPNEBULA.CO. Я не давав дозволу і не мав наміру здійснювати цей платіж. Я хотів би запросити повне повернення 1 472,65 TRY і негайне скасування будь-якої активної підписки, пов'язаної з цим платежем. Будь ласка, підтвердьте, що підписку скасовано і повернення оброблено. Дякую за вашу допомогу. З повагою, [Ім'я]"
"gp:1504d565-5fe";"2026-04-20";"1";"googleplay";"en_or_unknown";"Please ,I need my $42.99 back Why did you automatically deduct such amount from my card without my notice ? Please ,kindly refund it back as soon as possible . Thanks";"Будь ласка, мені потрібні мої 42,99$ назад. Чому ви автоматично списали таку суму з моєї картки без мого відома? Будь ласка, будьте ласкаві повернути її якнайшвидше. Дякую."
"gp:10fb4612-01f";"2026-05-30";"1";"googleplay";"es";"ustedes son una estafa. OJO NO ENTREN NI DESCARGUEN ES PURA ESTAFA. Me cobraron un monto a mi cuenta de Paypal sin mi autorización y no hayo como apelar a que me devuelvan mi dinero. Está aplicación es una aplicación de SCAMM. ESTO ES SCAMM. CUIDEN SUS CUENTAS. SCAMM. ACTUALIZACIÓN: 30 de mayo de 2026 aún no recibo mi reembolso de 49,99$ exijo mi dinero de nuevo a mi cuenta de Paypal, ya que se desestimó la disputa!";"ви шахраї. УВАГА НЕ ЗАХОДЬТЕ І НЕ ЗАВАНТАЖУЙТЕ ЦЕ ЧИСТЕ ШАХРАЙСТВО. З мого рахунку PayPal списали суму без мого дозволу, і я не знаходжу, як оскаржити, щоб мені повернули гроші. Цей застосунок — застосунок-ШАХРАЙСТВО. ЦЕ ШАХРАЙСТВО. БЕРЕЖІТЬ СВОЇ РАХУНКИ. ШАХРАЙСТВО. ОНОВЛЕННЯ: 30 травня 2026 я досі не отримав своє повернення 49,99$, вимагаю свої гроші назад на рахунок PayPal, бо суперечку відхилили!"
"gp:b232aade-8e3";"2025-11-28";"3";"googleplay";"en_or_unknown";"I made a payment of 5 dollars for reading of my past life. However, I cannot access it, as on opening the Nebula App, it keeps on taking you to various options etc. but not what I want and for which I paid money. I wonder if this is some sort of scam. I was told that my report would be sent on my specified e-mail, but I find myself in the same rigmarole trap. Please send my report pronto.";"Я зробив платіж на 5 доларів за читання свого минулого життя. Однак я не можу отримати до нього доступ, бо при відкритті застосунку Nebula він постійно перекидає тебе на різні опції тощо, але не на те, що я хочу і за що я заплатив гроші. Мені цікаво, чи це якесь шахрайство. Мені сказали, що мій звіт надішлють на вказану мною пошту, але я опиняюсь у тій самій пастці з біганиною. Будь ласка, надішліть мій звіт негайно."
"gp:7d7f7ad3-e68";"2025-09-10";"1";"googleplay";"en_or_unknown";"I'm trying to get this app to release its grip on my phone . I want to cancel the bogus subscription it keeps slamming on my cash app . I can't even use my CASH APP because if I put money on CASH APP this NEBULA b.s. app tries to take my money . How can I CANCEL THIS APP????";"Я намагаюсь змусити цей застосунок відпустити мій телефон. Я хочу скасувати фіктивну підписку, яку він постійно нав'язує моєму Cash App. Я навіть не можу користуватись своїм CASH APP, бо якщо я кладу гроші на CASH APP, цей NEBULA-мотлох намагається забрати мої гроші. Як мені СКАСУВАТИ ЦЕЙ ЗАСТОСУНОК????"
"gp:9b299d95-c20";"2025-09-12";"1";"googleplay";"en_or_unknown";"I had installed the app some months ago and they charged 1dollar for a reading which was deducted from my account but when the service wasn't provided, I deleted the app but then I was still charged 19dollars for something I know nothing about. this isn't fair. I need a refund of the 19dollars. how do I go about it since I had deleted the app?";"Я встановив застосунок кілька місяців тому, і вони списали 1 долар за читання, який зняли з мого рахунку, але коли послугу не надали, я видалив застосунок, а потім з мене все одно списали 19 доларів за щось, про що я нічого не знаю. Це несправедливо. Мені потрібне повернення 19 доларів. Як мені це зробити, якщо я вже видалив застосунок?"
"gp:588c4a69-185";"2025-12-01";"1";"googleplay";"en_or_unknown";"I downloaded this app and didn't even subscribe. I tried to cancel but it still keeps deducting money from my account. I would like my money back please. I am unemployed 😭";"Я завантажила цей застосунок і навіть не підписувалась. Я намагалась скасувати, але він усе одно продовжує знімати гроші з мого рахунку. Я хотіла б отримати свої гроші назад, будь ласка. Я безробітна 😭"
"gp:74629d00-2a9";"2025-05-07";"1";"googleplay";"en_or_unknown";"I would like to cancel my subscription and I don't have any idea how. this information is already known. I don't need it and I can't afford it. please help me to cancel.";"Я хотіла б скасувати підписку і не маю жодного уявлення як. Ця інформація вже відома. Вона мені не потрібна, і я не можу собі її дозволити. Будь ласка, допоможіть мені скасувати."
